"id","echelle","indicateur","valeur"
"2","recoquartier","taux_impermeabilisation","43"
"2","recoquartier","qpv_lib",""
"2","recoquartier","part_qpv","0"
"2","recoquartier","part_abf","1"
"2","recoquartier","classification_ville","5"
"2","recoquartier","classification_ville_lib","Grande centralité"
"2","recoquartier","somme_nlogh_tout_bati","28"
"2","recoquartier","somme_loccom_tout_bati","0"
"2","recoquartier","densite_tous_logh_ha","56"
"2","recoquartier","densite_tous_loccom_ha","0"
"2","recoquartier","estim_pop","45"
"2","recoquartier","nb_loccom_1000_hab","0"
"2","recoquartier","part_logh_1p","0.21"
"2","recoquartier","part_logh_2p","0"
"2","recoquartier","part_logh_3p","0.43"
"2","recoquartier","part_logh_4p","0"
"2","recoquartier","part_logh_5p_et_plus","0.36"
"2","recoquartier","part_logh_rs","0"
"2","recoquartier","id_village_avenir",""
"2","recoquartier","id_pvd",""
"2","recoquartier","id_acv","acv-006"
"2","recoquartier","part_mur_beton_agglo","1"
"2","recoquartier","part_mur_pierre_meuliere","0"
"2","recoquartier","part_mur_briques","0"
"2","recoquartier","part_mur_autres_indetermines","0"
"2","recoquartier","part_toit_zinc_alu","0"
"2","recoquartier","part_toit_zinc_ardoises","0"
"2","recoquartier","part_toit_tuiles","0"
"2","recoquartier","part_toit_beton","0"
"2","recoquartier","part_toit_autres_indetermines","1"
"2","recoquartier","fid","2"
"2","recoquartier","clust","2"
"2","recoquartier","clust_bis","1bis"
"2","recoquartier","lib_clust_bis","Les Quartiers de Logement Social"
"3","recoquartier","dep","Orne"
"3","recoquartier","epci","CU d'Alençon"
"3","recoquartier","insee_com","{61001}"
"3","recoquartier","commune","Alençon"
"3","recoquartier","nom_iris","Courteille Point du Jour, Courteilles Aviateurs-Alençon Village"
"3","recoquartier","insee_com_rattacht","61001"
"3","recoquartier","nom_com_rattacht","Alençon"
"3","recoquartier","nb_batiment_reco","10"
"3","recoquartier","somme_nlogh_reco","74"
"3","recoquartier","nb_logt_par_batiment","7.4"
"3","recoquartier","somme_nloccom_reco","0"
"3","recoquartier","part_nloghloue_reco","0.93"
"3","recoquartier","part_nloghpp_reco","0"
"3","recoquartier","part_nloghvac2a_reco","0.01"
"3","recoquartier","part_0_2_etages","0.3"
"3","recoquartier","part_3_5_etages","0.7"
"3","recoquartier","part_6_et_plus_etages","0"
"3","recoquartier","part_copro_reco","0"
"3","recoquartier","part_nloghlls_exo_fiscale_reco","0.99"
"3","recoquartier","part_nlogh_orga_hlm_reco","1"
"3","recoquartier","surface_ha","3"
"3","recoquartier","nb_copro_reco","0"
"3","recoquartier","somme_nlogh_copro_reco","0"
"3","recoquartier","part_syndic_pro_copro_reco","0"
"3","recoquartier","part_syndic_benevole_copro_reco","0"
"3","recoquartier","part_syndic_sans_info_copro_reco","0"
"3","recoquartier","somme_individus","280"
"3","recoquartier","somme_menages","140"
"3","recoquartier","tmm","2"
"3","recoquartier","part_men_pauvre","0.45"
"3","recoquartier","part_men_1ind","0.47"
"3","recoquartier","part_men_5ind","0.06"
"3","recoquartier","part_men_fmonoparentale","0.26"
"3","recoquartier","surface_par_individu","30.72"
"3","recoquartier","niveau_vie_individu","14416.25"
"3","recoquartier","ind_0_17_ans","0.3"
"3","recoquartier","ind_18_24_ans","0.07"
"3","recoquartier","ind_25_39_ans","0.2"
"3","recoquartier","ind_40_64_ans","0.28"
"3","recoquartier","ind_65_ans_et_plus","0.15"
"3","recoquartier","part_dpe_efg",""
"3","recoquartier","part_bat_0_300_m_ev","1"
"3","recoquartier","part_bat_300_850_m_ev","0"
"3","recoquartier","taux_impermeabilisation","56"
"3","recoquartier","qpv_lib","Courteille"
"3","recoquartier","part_qpv","1"
